Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.87825E-7,0.000018782,0.000831405,1,0,0
3.10986E-7,0.000049881,0.001375826,0.99990009,0,0
5.18587E-7,0.00010174,0.002292161,0.99980018,0,0
2.67243E-6,0.000368983,0.011700785,0.99970027,0,0
4.37531E-6,0.000806514,0.019014805,0.99960036,0,0
6.89187E-6,0.001495701,0.029627591,0.99950045,0,0
1.17978E-5,0.0035612,0.049670376,0.999300629,0,0
1.18046E-5,0.005922104,0.049697591,0.999100809,0,0
1.18764E-5,0.010653818,0.049984399,0.998701169,0,0
1.20514E-5,0.025027665,0.050683968,0.997502248,0,0
1.21698E-5,0.050450012,0.051156301,0.995404136,0,0
1.24334E-5,0.100929735,0.052206351,0.991307823,0,0
1.29065E-5,0.20101424,0.054085653,0.983414927,0,0
1.32497E-5,0.300480408,0.055443838,0.97582176,0,0
1.3508E-5,0.400970465,0.05646384,0.968328504,0,0
1.35628E-5,0.50115778,0.056679976,0.960935158,0,0
1.36344E-5,0.600429743,0.056962086,0.953641722,0,0
1.36737E-5,0.700136226,0.05711668,0.946348287,0,0
1.36837E-5,0.750749472,0.057156271,0.942651614,0,0
1.36974E-5,0.800034746,0.057210152,0.939054851,0,0
1.37411E-5,0.900197354,0.057382117,0.931761415,0,0
1.38009E-5,1.000725892,0.05761778,0.924467979,0,0
1.38674E-5,1.100346254,0.057879211,0.917274453,0,0
1.39359E-5,1.200447301,0.058148287,0.910080927,0,0
1.39999E-5,1.301017107,0.058399866,0.902887401,0,0
1.40655E-5,1.400640732,0.058657354,0.895793786,0,0
1.41391E-5,1.50078245,0.058946501,0.88870017,0,0
1.4368E-5,1.751421156,0.059843518,0.871115996,0,0
1.46255E-5,2.000502551,0.060850655,0.853931462,0,0
1.48675E-5,2.251307064,0.061795508,0.836946748,0,0
1.51667E-5,2.500412845,0.062960553,0.820361674,0,0
1.55432E-5,2.751041239,0.064422761,0.804076331,0,0
1.59246E-5,3.001151133,0.06589951,0.788190628,0,0
1.6294E-5,3.250669489,0.067325479,0.772704566,0,0
1.67047E-5,3.501412109,0.068905418,0.757518234,0,0
1.7121E-5,3.750137831,0.070501309,0.742831452,0,0
1.76223E-5,4.000001189,0.072416103,0.7284444,0,0
1.80285E-5,4.251231497,0.073962002,0.714357079,0,0
1.83883E-5,4.500666006,0.075326847,0.700669398,0,0
1.86891E-5,4.750910792,0.076464778,0.687181537,0,0
1.89872E-5,5.001412858,0.077589834,0.673893496,0,0
1.93112E-5,5.250307184,0.078809588,0.660905185,0,0
1.95736E-5,5.501210193,0.079795109,0.648016785,0,0
1.99368E-5,5.750126302,0.081155635,0.635428115,0,0
2.0298E-5,6.001256376,0.082504424,0.622939355,0,0
2.06285E-5,6.250983417,0.083735334,0.610750325,0,0
2.09637E-5,6.50042889,0.084980333,0.598761115,0,0
2.12454E-5,6.75186533,0.086024262,0.586871815,0,0
2.15358E-5,7.000051511,0.087097516,0.575282246,0,0
2.18275E-5,7.251790065,0.088173278,0.563692677,0,0
2.21604E-5,7.500329941,0.089397732,0.552402837,0,0
2.24365E-5,7.752111268,0.090410747,0.541112998,0,0
2.27575E-5,8.000781559,0.091585888,0.530122889,0,0
2.30111E-5,8.250219607,0.092512144,0.519232691,0,0
2.32922E-5,8.500295513,0.093536565,0.508442402,0,0
2.35524E-5,8.750881219,0.094482588,0.497752023,0,0
2.38792E-5,9.002203941,0.095668447,0.487161555,0,0
2.43359E-5,9.25045497,0.097319939,0.476870816,0,0
2.48194E-5,9.501117143,0.09906203,0.466679988,0,0
2.52928E-5,9.751579014,0.100761028,0.45668898,0,0
2.57119E-5,10.001573243,0.102259741,0.446897792,0,0
2.62217E-5,10.250813525,0.10407645,0.437306424,0,0
2.67223E-5,10.502356649,0.105853074,0.427814967,0,0
2.77245E-5,10.752600991,0.109388672,0.418623239,0,0
2.91331E-5,11.002833188,0.114311146,0.409831152,0,0
3.06948E-5,11.251668171,0.119705413,0.401538615,0,0
3.23187E-5,11.500238371,0.125244985,0.393645719,0,0
3.37642E-5,11.751238753,0.130117872,0.386052553,0,0
3.5505E-5,12.003025865,0.135914715,0.378759117,0,0
3.7668E-5,12.250828535,0.143010723,0.371965231,0,0
3.99033E-5,12.502688437,0.150222511,0.365471076,0,0
4.18685E-5,12.752467019,0.156463075,0.359376561,0,0
4.4024E-5,13.000758393,0.163203578,0.353581776,0,0
4.67095E-5,13.254431716,0.171452283,0.347986812,0,0
4.93935E-5,13.500135073,0.179535364,0.342891398,0,0
5.13736E-5,13.752802034,0.185398392,0.337895894,0,0
5.35637E-5,14.004701735,0.191786229,0.33310021,0,0
5.57242E-5,14.250336716,0.197990239,0.328604256,0,0
5.86669E-5,14.502472236,0.206288895,0.324208213,0,0
6.06486E-5,14.752989565,0.211781395,0.320011989,0,0
6.31827E-5,15.000141619,0.218695258,0.316015586,0,0
6.5826E-5,15.251910878,0.22577871,0.312119093,0,0
6.84799E-5,15.501544269,0.23276259,0.30842242,0,0
7.076E-5,15.752076582,0.238663045,0.304825657,0,0
7.29218E-5,16.003786877,0.244174018,0.301328804,0,0
7.59326E-5,16.25702515,0.251717809,0.297931861,0.111111111,0
7.82168E-5,16.503566216,0.257341567,0.294734739,0.111111111,0
8.06191E-5,16.757116015,0.263165173,0.291537616,0.111111111,0
8.25735E-5,17.001591016,0.267836223,0.288540314,0.111111111,0
8.48379E-5,17.252755979,0.273174621,0.285543011,0.111111111,0
8.68237E-5,17.502198196,0.277792732,0.282645619,0.111111111,0
8.92368E-5,17.757499911,0.283325939,0.279748227,0.111111111,0
9.07004E-5,18.000672262,0.286640798,0.277050654,0.111111111,0
9.22606E-5,18.256725224,0.290140997,0.274253172,0.111111111,0
9.40552E-5,18.508539942,0.294124704,0.2715556,0.111111111,0
9.53621E-5,18.754721896,0.296997775,0.268957938,0.111111111,0
9.67792E-5,19.004685256,0.300086746,0.266360276,0.111111111,0
9.76007E-5,19.257434361,0.301865079,0.263762614,0.111111111,0
9.85506E-5,19.502588705,0.303910111,0.261264862,0.111111111,0
9.98873E-5,19.750900254,0.306767737,0.25876711,0.111111111,0
1.01474E-4,20.002981538,0.310128595,0.256269358,0.111111111,0
1.02401E-4,20.25779705,0.312077723,0.253771606,0.111111111,0
1.03158E-4,20.504489136,0.313661124,0.251373764,0.111111111,0
1.04074E-4,20.753118242,0.315568689,0.248975922,0.111111111,0
1.05258E-4,21.004182033,0.318016582,0.24657808,0.111111111,0
1.06532E-4,21.258578375,0.320631257,0.244180238,0.111111111,0
1.0813E-4,21.505513619,0.323883817,0.241882306,0.111111111,0
1.091E-4,21.755414096,0.325842264,0.239584374,0.111111111,0
1.10504E-4,22.007778969,0.328657199,0.237286442,0.111111111,0
1.11404E-4,22.252000373,0.330449498,0.23508842,0.111111111,0
1.13308E-4,22.510498871,0.334209486,0.232790489,0.111111111,0
1.14672E-4,22.750169916,0.336876753,0.230692377,0.111111111,0
