Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
9.16771E-7,0.000091677,0.004405641,1,0,0
9.37515E-7,0.000185429,0.004504876,0.999900319,0,0
9.54256E-7,0.000280854,0.004584949,0.999800638,0,0
1.00977E-6,0.000580997,0.004850381,0.999501595,0,0
1.02621E-6,0.001092091,0.004928973,0.99900319,0,0
1.10766E-6,0.002593651,0.005318083,0.997607656,0,0
1.163E-6,0.0050804,0.00558232,0.995414673,0,0
1.27176E-6,0.010078862,0.006101191,0.991327751,0,0
1.5527E-6,0.025022712,0.007438939,0.980761563,0,0
1.83187E-6,0.050156703,0.00876472,0.966008772,0,0
2.22387E-6,0.100221191,0.010620318,0.941487241,0,0
2.833E-6,0.200244114,0.013490035,0.902412281,0,0
3.46632E-6,0.300204612,0.016456153,0.870713716,0,0
4.04908E-6,0.400313251,0.019169729,0.844198565,0,0
4.59887E-6,0.500107469,0.02171607,0.821072568,0,0
5.20447E-6,0.600451241,0.024505673,0.80073764,0,0
5.66215E-6,0.700059598,0.026603368,0.782496013,0,0
5.91622E-6,0.750379866,0.027763967,0.773823764,0,0
6.20143E-6,0.800100842,0.029063507,0.76564992,0,0
6.73872E-6,0.900145358,0.031502251,0.750199362,0,0
7.34084E-6,1.000371552,0.034220727,0.736044657,0,0
8.07121E-6,1.100559883,0.03749781,0.723086124,0,0
8.79161E-6,1.200233978,0.040708471,0.711224083,0,0
9.5023E-6,1.300044313,0.043854896,0.700358852,0,0
1.04691E-5,1.400261993,0.048102112,0.69039075,0,0
1.1373E-5,1.500688137,0.052039357,0.681220096,0,0
1.38187E-5,1.75103378,0.062530242,0.661283892,0,0
1.68433E-5,2.001679949,0.075187453,0.645035885,0,0
1.97056E-5,2.250167608,0.086855188,0.631479266,0,0
2.20782E-5,2.500980924,0.096305637,0.619417863,0,0
2.4067E-5,2.752396832,0.104077854,0.608552632,0,0
2.62967E-5,3.002452703,0.112633984,0.598684211,0,0
2.85368E-5,3.250076123,0.121067195,0.589712919,0,0
3.00885E-5,3.501891085,0.126815354,0.581140351,0,0
3.201E-5,3.750826551,0.133830137,0.573165869,0,0
3.36979E-5,4.000669045,0.13989997,0.565590112,0,0
3.46364E-5,4.250194403,0.143238034,0.558313397,0,0
3.5753E-5,4.503546317,0.14717623,0.551136364,0,0
3.72071E-5,4.752205245,0.15225061,0.544358054,0,0
3.84357E-5,5.00219914,0.156491188,0.537779107,0,0
3.95376E-5,5.251621016,0.16025857,0.531399522,0,0
4.07174E-5,5.500299371,0.164255154,0.525219298,0,0.1
4.18836E-5,5.752448512,0.168168605,0.519138756,0,0.1
4.32127E-5,6.003876585,0.172584155,0.513257576,0,0.1
4.43116E-5,6.253339634,0.176199597,0.507575758,0,0.1
4.52953E-5,6.500037097,0.179409325,0.502093301,0,0.1
4.62547E-5,6.75165165,0.182515912,0.496610845,0,0.1
4.73627E-5,7.000105191,0.186074366,0.491327751,0,0.1
4.89866E-5,7.254550829,0.191234257,0.486044657,0,0.1
5.02591E-5,7.502971386,0.195231965,0.481060606,0,0.1
5.14457E-5,7.752525377,0.19892435,0.476176236,0,0.1
5.24564E-5,8.00189425,0.202042939,0.471391547,0,0.1
5.33686E-5,8.250723136,0.20483679,0.466706539,0,0.1
5.43818E-5,8.504079624,0.207916948,0.462021531,0,0.1
5.54989E-5,8.751301563,0.211285499,0.457535885,0,0.1
5.66015E-5,9.003622708,0.214582348,0.453050239,0,0.1
5.78018E-5,9.255377583,0.218140384,0.448664274,0,0.1
5.88009E-5,9.505869533,0.221077305,0.44437799,0,0.1
5.99313E-5,9.755213062,0.224373793,0.440191388,0,0.1
6.10438E-5,10.003159016,0.227590715,0.436104466,0.03125,0.1
6.214E-5,10.256068289,0.230734653,0.432017544,0.0625,0.1
6.33137E-5,10.500834379,0.234072717,0.428129984,0.0625,0.1
6.40948E-5,10.755597338,0.236278112,0.424142743,0.0625,0.1
6.51996E-5,11.001014931,0.239376113,0.420354864,0.0625,0.1
6.60159E-5,11.250400022,0.24164864,0.416566986,0.0625,0.1
6.72227E-5,11.503550663,0.244983897,0.412779107,0.0625,0.1
6.84105E-5,11.754360133,0.248238214,0.409090909,0.0625,0.1
6.96195E-5,12.003149397,0.251521904,0.405502392,0.0625,0.1
7.06047E-5,12.255358359,0.254176513,0.401913876,0.0625,0.1
7.16417E-5,12.504482222,0.256950473,0.39842504,0.0625,0.1
7.31674E-5,12.75034851,0.260994328,0.395035885,0.0625,0.1
